year,homicide.rates,state,increase,cumulative
1996,36.19672377,São Paulo,5.46%,1.18
1997,36.11865773,São Paulo,-0.22%,1.18
1998,39.68088418,São Paulo,9.86%,1.28
1999,44.14141513,São Paulo,11.24%,1.39
2000,42.20898115,São Paulo,-4.38%,1.35
2001,41.84149898,São Paulo,-0.87%,1.34
2002,37.96453713,São Paulo,-9.27%,1.24
2003,35.91639733,São Paulo,-5.39%,1.19
2004,28.58354323,São Paulo,-20.42%,0.99
2005,21.57861395,São Paulo,-24.51%,0.74
2006,19.89002226,São Paulo,-7.83%,0.66
2007,14.96271275,São Paulo,-24.77%,0.42
2008,14.91527953,São Paulo,-0.32%,0.41
2009,15.26915332,São Paulo,2.37%,0.44
